field_1,Station ID,Positie,Hoogte (bo,Tijdzone,Actief sta,Data downl,Website,Motivatie,Officieel,Organisati,Ligging,Meting luc,Meting nee,Meting win,Stedelijke,Waarneemur,lat,lon,star_ratin,descriptio,extra_info,HubName,HubDist
007f3075-bf60-ea11-b698-0003ff59a029,007f3075-bf60-ea11-b698-0003ff59a029,N52.2273E6.9026,50m,Europe/Berlin,Ja,Ja,meteo.zwart.net,Hobbyist,Nee,,"3",C,A,C,"4",C,52.227300000000000,6.902600000000000,"3",,,Twenthe,5255.844114771741260
010c7bab-c21f-e911-9462-0003ff5972a6,010c7bab-c21f-e911-9462-0003ff5972a6,N52.2483246411839E7.03927129268641,36m,Europe/Berlin,Ja,Ja,https://app.weathercloud.net/d0791322895#profile,Personal,Nee,none,"2",C,C,C,"5",C,52.248324641183899,7.039271292686410,"2","WS 2900 weatherstation 24/7 on line in Twente/Overijssel , Netherlands",UNDER REVIEW,Twenthe,10517.736323372309926
01bff5eb-4225-ed11-b5cf-0003ff597f35,01bff5eb-4225-ed11-b5cf-0003ff597f35,N52.0156E4.3764,1m,Europe/Berlin,Ja,Ja,https://papaverdelft.nl/,Project,Nee,Delft measure rain,"1",U,U,U,U,U,52.015599999999999,4.376400000000001,"2",in our garden,"Alecto WS5500, joining the Delft Measure Rain project",Rotterdam,7686.073845033793987
01cac5ec-d793-e811-b96f-0003ff597c74,01cac5ec-d793-e811-b96f-0003ff597c74,N51.049E5.8206,37m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"5",D,A,C,"5",C,51.048999999999999,5.820600000000000,"2",,,Maastricht,16430.294078072594857
01e5d4c1-6b2b-e811-bbd3-0003ff598027,01e5d4c1-6b2b-e811-bbd3-0003ff598027,N51.64668803825E4.60661098122591,-m,Europe/Berlin,Ja,Ja,,Enthusiast,Nee,,"3",B,A,B,"5",C,51.646688038249998,4.606610981225910,"3",,,Woensdrecht,28644.151011495003331
02b21464-89e3-e811-a140-0003ff5993a0,02b21464-89e3-e811-a140-0003ff5993a0,N52.5133E6.0835,4m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,52.513300000000001,6.083500000000000,"0",,,Heino,14767.331793131050290
030d26dc-e559-ec11-a3ee-0003ff597308,030d26dc-e559-ec11-a3ee-0003ff597308,N51.2798E4.8783,16m,Europe/Paris,Ja,Ja,"-",Personal,Nee,"-",l,l,l,l,l,l,51.279800000000002,4.878300000000000,"0",A weather station situated in Gierle (Lille) in Belgium.,"-",Gilze-Rijen,32089.839142466098565
040017c6-a055-ea11-b699-0003ff59987e,040017c6-a055-ea11-b699-0003ff59987e,N52.5659E6.2599,6m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,,"4",B,B,B,"7",C,52.565899999999999,6.259900000000000,"3",,,Heino,14564.594190704141511
05b2f112-0064-e811-bd6d-0003ff59b2de,05b2f112-0064-e811-bd6d-0003ff59b2de,N52.2181485E4.5163644,1m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,52.218148499999998,4.516364400000000,"0",,,Valkenburg,7898.377043068632702
06121559-2d82-ea11-99e5-0003ff59b198,06121559-2d82-ea11-99e5-0003ff59b198,N51.9609E5.9749,15m,Europe/Berlin,Ja,Ja,http://test.weerstationwestervoort.com/,Hobbyist,Nee,Weerstation Westervoort Beekenoord,"3",B,B,C,"5",C,51.960900000000002,5.974900000000000,"3",,"Weerstation aan de rand van de woonwijk Beekenoord in Westervoort
Davis Vantage Pro2 met Meteobridge Pro Red. 
",Deelen,12684.199645529302870
070d3871-0ef2-eb11-ba5e-0003ff59967d,070d3871-0ef2-eb11-ba5e-0003ff59967d,N52.7005E5.2804,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"1",C,D,C,"3",C,52.700499999999998,5.280400000000000,"2","Alecto WS-5500 , Private AWS, Public information",,Wijdenes,10322.331323565560524
0764edd4-4e9d-ec11-826d-0003ff5991f9,0764edd4-4e9d-ec11-826d-0003ff5991f9,N52.2736E5.1551,12m,Europe/Berlin,Ja,Ja,,Personal,Nee,,R,C,C,C,"3",A,52.273600000000002,5.155100000000000,"1",,,De,19389.324215170909156
07a51958-475f-eb11-8fed-0003ff595f97,07a51958-475f-eb11-8fed-0003ff595f97,N51.985E5.7684,31m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,51.984999999999999,5.768400000000000,"0",A grass field surrounded by trees. Close to motorway and brook valley.,,Deelen,10674.357080614128790
07ef5544-e95f-eb11-8fed-0003ff596d7f,07ef5544-e95f-eb11-8fed-0003ff596d7f,N50.7655E5.5047,105m,Europe/Paris,Ja,Ja,,Hobbyist,Nee,,"1",C,C,C,"7",C,50.765500000000003,5.504700000000000,"2",,,Maastricht,23931.021452969143866
088723dc-c78e-ea11-99e5-0003ff596d81,088723dc-c78e-ea11-99e5-0003ff596d81,N51.8294E4.3201,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,51.829400000000000,4.320100000000000,"0",,,Rotterdam,7092.507176727014667
08a2a435-3a16-ed11-b5cf-0003ff5962a8,08a2a435-3a16-ed11-b5cf-0003ff5962a8,N52.5988E6.1011,3m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"3",C,A,C,"5",C,52.598799999999997,6.101100000000000,"3",,,Heino,21142.869114081273437
08d30180-411b-eb11-8441-0003ff597a64,08d30180-411b-eb11-8441-0003ff597a64,N51.8353E4.1583,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,U,U,U,U,U,U,51.835299999999997,4.158300000000000,"1",,,Hoek,17611.327020599284879
08dd0b4d-4289-ea11-99e5-0003ff59b198,08dd0b4d-4289-ea11-99e5-0003ff59b198,N52.0623E5.3622,13m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,,"0",D,D,C,"3",C,52.062300000000000,5.362200000000000,"1","Alecto WS-5500
Weather Underground",,Soesterberg,9657.013846567142537
0a9be438-45f0-ea11-b5d9-0003ff599498,0a9be438-45f0-ea11-b5d9-0003ff599498,N52.0774E4.8305,-1m,Europe/Berlin,Ja,Ja,https://www.weerstation-woerden.nl,Hobbyist,Nee,,R,C,B,B,"7",C,52.077399999999997,4.830500000000000,"1",De Weer site voor het Weer en Noodweer omgeving Woerden,,Cabauw,13628.457129067159258
0b35c987-82d8-e911-b3b9-0003ff59a783,0b35c987-82d8-e911-b3b9-0003ff59a783,N51.16176E4.997653,15m,Europe/Paris,Ja,Ja,vlinder.ugent.be,Education,Nee,Ghent University,U,B,A,U,U,C,51.161760000000001,4.997653000000000,"1",,Vlinder Citizen Science Project,Gilze-Rijen,45173.168366588201025
0b774e33-c6ff-e711-90cd-0003ff5991b2,0b774e33-c6ff-e711-90cd-0003ff5991b2,N51.9489851827403E4.58186476427932,-4m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,51.948985182740302,4.581864764279320,"0",,,Rotterdam,9382.690238709556070
0cee8786-b419-ed11-b5cf-0003ff59a71f,0cee8786-b419-ed11-b5cf-0003ff59a71f,N52.4995E4.8172,6m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"3",B,D,B,"5",C,52.499499999999998,4.817200000000000,"2",,,Schiphol,20278.744950384800177
0cf46235-88a0-e811-b96f-0003ff597c74,0cf46235-88a0-e811-b96f-0003ff597c74,N52.2926938086908E5.59860160452308,8m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,Student,"2",B,D,C,"5",C,52.292693808690800,5.598601604523080,"2",,,Lelystad,19155.197945138472278
0d38e387-268d-ed11-9ac4-0003ff59a578,0d38e387-268d-ed11-9ac4-0003ff59a578,N52.1188E4.6662,12m,Europe/Berlin,Ja,Ja,"-",Hobbyist,Nee,"-",R,C,D,B,"3",C,52.118800000000000,4.666200000000000,"1",Alecto WS-5500,"Weerstation	Alecto WS-5500
Breedtegraad	52° 07.13' N
Lengtegraad	004° 39.97' O
Hoogte	12 meters",Voorschoten,15886.646107292248416
0d688832-8ed6-e611-9401-0003ff5987fb,0d688832-8ed6-e611-9401-0003ff5987fb,N51.376371E6.115726,21m,Europe/Berlin,Ja,Ja,WeerBoekend.nl,Personal,Nee,,"3",A,A,C,"5",C,51.376370999999999,6.115726000000000,"4",,Parameters are measured with VantagePro2,Arcen,14663.056923203352198
0d760b02-d72b-ed11-97b0-0003ff599bc1,0d760b02-d72b-ed11-97b0-0003ff599bc1,N52.0103E4.3975,-m,Europe/Berlin,Ja,Ja,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/project-7-delft-meet-regen,Project,Nee,Delft Measures Rain,"1",U,U,U,U,U,52.010300000000001,4.397500000000000,"2",Op het gras,"Alecto WS5500, joining the Delft Measures Rain Project",Rotterdam,6358.988601901662150
0db1e4f9-b6e4-eb11-ba5e-0003ff5986e4,0db1e4f9-b6e4-eb11-ba5e-0003ff5986e4,N51.9303E5.9401,13m,Europe/Berlin,Ja,Ja,,Enthusiast,Nee,,"1",C,D,C,"5",C,51.930300000000003,5.940100000000000,"2","Ventus W830 station in een redelijk beschutte omgeving, op paal 3 meter boven grond. Maaiveld op 10,5 meter NAP.",,Deelen,14724.439106364348845
0e6f8a84-617b-eb11-8ced-0003ff5982ed,0e6f8a84-617b-eb11-8ced-0003ff5982ed,N51.9667E5.6742,25m,Europe/Berlin,Ja,Ja,,Personal,Nee,,U,U,U,U,U,U,51.966700000000003,5.674200000000000,"1",,,Deelen,16881.195001825228246
0e841916-43cc-ea11-bf21-0003ff59a78c,0e841916-43cc-ea11-bf21-0003ff59a78c,N52.4989E5.5072,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,52.498899999999999,5.507200000000000,"0",,,Lelystad,4633.019437483962065
0f10f9ef-2c3c-e811-a823-0003ff598bf1,0f10f9ef-2c3c-e811-a823-0003ff598bf1,N51.3618076309017E5.3707921163857,16m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"3",C,D,C,"7",C,51.361807630901701,5.370792116385700,"2",Ventus W830 weather station in my back yard.,,Eindhoven,9931.452632752150748
0f4f2b5b-8959-ea11-b698-0003ff599880,0f4f2b5b-8959-ea11-b698-0003ff599880,N52.4541E4.6066,17m,Europe/Berlin,Ja,Ja,https://weather.vanderkuijl.eu/indexDesktop.php,Personal,Nee,,"3",B,B,B,"5",C,52.454099999999997,4.606600000000000,"3",WS-5500,,Wijk,5779.761227815696657
0f53afbd-8423-e811-bbd5-0003ff5993c1,0f53afbd-8423-e811-bbd5-0003ff5993c1,N52.5348448048541E6.3993145074096,6m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"5",A,A,B,"7",B,52.534844804854103,6.399314507409600,"5",,,Heino,14637.277880681838724
1028c2a1-0c31-ed11-97b0-0003ff599bc1,1028c2a1-0c31-ed11-97b0-0003ff599bc1,N51.8677E4.997,5m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,,"3",D,D,C,"5",C,51.867699999999999,4.997000000000000,"2",,,Cabauw,12385.004500781751631
116def8e-e345-eb11-8fed-0003ff597f34,116def8e-e345-eb11-8fed-0003ff597f34,N51.5551E5.0729,17m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,51.555100000000003,5.072900000000000,"0",,,Gilze-Rijen,9569.777066784406998
