field_1,Station ID,Positie,Hoogte (boven zeeniveau),Tijdzone,Actief station,Data downloaden toegestaan?,Website,Motivatie station,Officieel station,Organisatie,Ligging,Meting luchttemperatuur,Meting neerslag,Meting wind,Stedelijke zone,Waarneemuren,lat,lon,star_rating,description,extra_info,LGN_1
007f3075-bf60-ea11-b698-0003ff59a029,007f3075-bf60-ea11-b698-0003ff59a029,N52.2273E6.9026,50m,Europe/Berlin,Ja,Ja,meteo.zwart.net,Hobbyist,Nee,,"3",C,A,C,"4",C,52.2273,6.9026,"3",,,"23"
010c7bab-c21f-e911-9462-0003ff5972a6,010c7bab-c21f-e911-9462-0003ff5972a6,N52.2483246411839E7.03927129268641,36m,Europe/Berlin,Ja,Ja,https://app.weathercloud.net/d0791322895#profile,Personal,Nee,none,"2",C,C,C,"5",C,52.2483246411839,7.03927129268641,"2","WS 2900 weatherstation 24/7 on line in Twente/Overijssel , Netherlands",UNDER REVIEW,"11"
01bff5eb-4225-ed11-b5cf-0003ff597f35,01bff5eb-4225-ed11-b5cf-0003ff597f35,N52.0156E4.3764,1m,Europe/Berlin,Ja,Ja,https://papaverdelft.nl/,Project,Nee,Delft measure rain,"1",U,U,U,U,U,52.0156,4.3764,"2",in our garden,"Alecto WS5500, joining the Delft Measure Rain project","28"
01cac5ec-d793-e811-b96f-0003ff597c74,01cac5ec-d793-e811-b96f-0003ff597c74,N51.049E5.8206,37m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"5",D,A,C,"5",C,51.049,5.8206,"2",,,"18"
01e5d4c1-6b2b-e811-bbd3-0003ff598027,01e5d4c1-6b2b-e811-bbd3-0003ff598027,N51.64668803825E4.60661098122591,-m,Europe/Berlin,Ja,Ja,,Enthusiast,Nee,,"3",B,A,B,"5",C,51.64668803825,4.60661098122591,"3",,,"23"
02b21464-89e3-e811-a140-0003ff5993a0,02b21464-89e3-e811-a140-0003ff5993a0,N52.5133E6.0835,4m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,52.5133,6.0835,"0",,,"23"
040017c6-a055-ea11-b699-0003ff59987e,040017c6-a055-ea11-b699-0003ff59987e,N52.5659E6.2599,6m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,,"4",B,B,B,"7",C,52.5659,6.2599,"3",,,"27"
05b2f112-0064-e811-bd6d-0003ff59b2de,05b2f112-0064-e811-bd6d-0003ff59b2de,N52.2181485E4.5163644,1m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,52.2181485,4.5163644,"0",,,"19"
06121559-2d82-ea11-99e5-0003ff59b198,06121559-2d82-ea11-99e5-0003ff59b198,N51.9609E5.9749,15m,Europe/Berlin,Ja,Ja,http://test.weerstationwestervoort.com/,Hobbyist,Nee,Weerstation Westervoort Beekenoord,"3",B,B,C,"5",C,51.9609,5.9749,"3",,"Weerstation aan de rand van de woonwijk Beekenoord in Westervoort
Davis Vantage Pro2 met Meteobridge Pro Red. 
","18"
070d3871-0ef2-eb11-ba5e-0003ff59967d,070d3871-0ef2-eb11-ba5e-0003ff59967d,N52.7005E5.2804,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"1",C,D,C,"3",C,52.7005,5.2804,"2","Alecto WS-5500 , Private AWS, Public information",,"18"
0764edd4-4e9d-ec11-826d-0003ff5991f9,0764edd4-4e9d-ec11-826d-0003ff5991f9,N52.2736E5.1551,12m,Europe/Berlin,Ja,Ja,,Personal,Nee,,R,C,C,C,"3",A,52.2736,5.1551,"1",,,"18"
07a51958-475f-eb11-8fed-0003ff595f97,07a51958-475f-eb11-8fed-0003ff595f97,N51.985E5.7684,31m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,51.985,5.7684,"0",A grass field surrounded by trees. Close to motorway and brook valley. ,,"1"
088723dc-c78e-ea11-99e5-0003ff596d81,088723dc-c78e-ea11-99e5-0003ff596d81,N51.8294E4.3201,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,l,l,l,l,l,l,51.8294,4.3201,"0",,,"18"
08a2a435-3a16-ed11-b5cf-0003ff5962a8,08a2a435-3a16-ed11-b5cf-0003ff5962a8,N52.5988E6.1011,3m,Europe/Berlin,Ja,Ja,,Personal,Nee,,"3",C,A,C,"5",C,52.5988,6.1011,"3",,,"23"
08d30180-411b-eb11-8441-0003ff597a64,08d30180-411b-eb11-8441-0003ff597a64,N51.8353E4.1583,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,U,U,U,U,U,U,51.8353,4.1583,"1",,,"23"
08dd0b4d-4289-ea11-99e5-0003ff59b198,08dd0b4d-4289-ea11-99e5-0003ff59b198,N52.0623E5.3622,13m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,,"0",D,D,C,"3",C,52.0623,5.3622,"1","Alecto WS-5500
Weather Underground",,"23"
0a9be438-45f0-ea11-b5d9-0003ff599498,0a9be438-45f0-ea11-b5d9-0003ff599498,N52.0774E4.8305,-1m,Europe/Berlin,Ja,Ja,https://www.weerstation-woerden.nl,Hobbyist,Nee,,R,C,B,B,"7",C,52.0774,4.8305,"1",De Weer site voor het Weer en Noodweer omgeving Woerden,,"18"
