,Unnamed: 0,Station ID,Positie,Hoogte (boven zeeniveau),Tijdzone,Actief station,Data downloaden toegestaan?,Website,Motivatie station,Officieel station,Organisatie,Ligging,Meting luchttemperatuur,Meting neerslag,Meting wind,Stedelijke zone,Waarneemuren,lat,lon,star_rating,description,extra_info,radiationscreen,precipitation_cal,wind_cal
0,007f3075-bf60-ea11-b698-0003ff59a029,007f3075-bf60-ea11-b698-0003ff59a029,N52.2273E6.9026,50m,Europe/Berlin,Ja,Ja,meteo.zwart.net,Hobbyist,Nee,,Standaard,C,A,C,4,C,52.2273,6.9026,3,,,True,True,False
1,010c7bab-c21f-e911-9462-0003ff5972a6,010c7bab-c21f-e911-9462-0003ff5972a6,N52.2483246411839E7.03927129268641,36m,Europe/Berlin,Ja,Ja,https://app.weathercloud.net/d0791322895#profile,Personal,Nee,none,Beperkt,C,C,C,5,C,52.2483246411839,7.03927129268641,2,"WS 2900 weatherstation 24/7 on line in Twente/Overijssel , Netherlands",UNDER REVIEW,True,True,False
2,01bff5eb-4225-ed11-b5cf-0003ff597f35,01bff5eb-4225-ed11-b5cf-0003ff597f35,N52.0156E4.3764,1m,Europe/Berlin,Ja,Ja,https://papaverdelft.nl/,Project,Nee,Delft measure rain,Beschut,U,U,U,U,U,52.0156,4.3764,2,in our garden,"Alecto WS5500, joining the Delft Measure Rain project",False,False,False
3,01cac5ec-d793-e811-b96f-0003ff597c74,01cac5ec-d793-e811-b96f-0003ff597c74,N51.049E5.8206,37m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Zeer open,D,A,C,5,C,51.049,5.8206,2,,,False,True,False
4,01e5d4c1-6b2b-e811-bbd3-0003ff598027,01e5d4c1-6b2b-e811-bbd3-0003ff598027,N51.64668803825E4.60661098122591,-m,Europe/Berlin,Ja,Ja,,Enthusiast,Nee,,Standaard,B,A,B,5,C,51.64668803825,4.60661098122591,3,,,True,True,True
5,02b21464-89e3-e811-a140-0003ff5993a0,02b21464-89e3-e811-a140-0003ff5993a0,N52.5133E6.0835,4m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Unknown,U,U,U,U,U,52.5133,6.0835,0,,,False,False,False
6,030d26dc-e559-ec11-a3ee-0003ff597308,030d26dc-e559-ec11-a3ee-0003ff597308,N51.2798E4.8783,16m,Europe/Paris,Ja,Ja,-,Personal,Nee,-,Unknown,U,U,U,U,U,51.2798,4.8783,0,A weather station situated in Gierle (Lille) in Belgium.,-,False,False,False
7,040017c6-a055-ea11-b699-0003ff59987e,040017c6-a055-ea11-b699-0003ff59987e,N52.5659E6.2599,6m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,,Open,B,B,B,7,C,52.5659,6.2599,3,,,True,True,True
8,05b2f112-0064-e811-bd6d-0003ff59b2de,05b2f112-0064-e811-bd6d-0003ff59b2de,N52.2181485E4.5163644,1m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Unknown,U,U,U,U,U,52.2181485,4.5163644,0,,,False,False,False
9,06121559-2d82-ea11-99e5-0003ff59b198,06121559-2d82-ea11-99e5-0003ff59b198,N51.9609E5.9749,15m,Europe/Berlin,Ja,Ja,http://test.weerstationwestervoort.com/,Hobbyist,Nee,Weerstation Westervoort Beekenoord,Standaard,B,B,C,5,C,51.9609,5.9749,3,,"Weerstation aan de rand van de woonwijk Beekenoord in Westervoort
Davis Vantage Pro2 met Meteobridge Pro Red. 
",True,True,False
10,070d3871-0ef2-eb11-ba5e-0003ff59967d,070d3871-0ef2-eb11-ba5e-0003ff59967d,N52.7005E5.2804,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Beschut,C,D,C,3,C,52.7005,5.2804,2,"Alecto WS-5500 , Private AWS, Public information",,True,False,False
11,0764edd4-4e9d-ec11-826d-0003ff5991f9,0764edd4-4e9d-ec11-826d-0003ff5991f9,N52.2736E5.1551,12m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Rooftop,C,C,C,3,A,52.2736,5.1551,1,,,True,True,False
12,07a51958-475f-eb11-8fed-0003ff595f97,07a51958-475f-eb11-8fed-0003ff595f97,N51.985E5.7684,31m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Unknown,U,U,U,U,U,51.985,5.7684,0,A grass field surrounded by trees. Close to motorway and brook valley. ,,False,False,False
13,07ef5544-e95f-eb11-8fed-0003ff596d7f,07ef5544-e95f-eb11-8fed-0003ff596d7f,N50.7655E5.5047,105m,Europe/Paris,Ja,Ja,,Hobbyist,Nee,,Beschut,C,C,C,7,C,50.7655,5.5047,2,,,True,True,False
14,088723dc-c78e-ea11-99e5-0003ff596d81,088723dc-c78e-ea11-99e5-0003ff596d81,N51.8294E4.3201,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Unknown,U,U,U,U,U,51.8294,4.3201,0,,,False,False,False
15,08a2a435-3a16-ed11-b5cf-0003ff5962a8,08a2a435-3a16-ed11-b5cf-0003ff5962a8,N52.5988E6.1011,3m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Standaard,C,A,C,5,C,52.5988,6.1011,3,,,True,True,False
16,08d30180-411b-eb11-8441-0003ff597a64,08d30180-411b-eb11-8441-0003ff597a64,N51.8353E4.1583,-m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Unknown,U,U,U,U,U,51.8353,4.1583,1,,,False,False,False
17,08dd0b4d-4289-ea11-99e5-0003ff59b198,08dd0b4d-4289-ea11-99e5-0003ff59b198,N52.0623E5.3622,13m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,,Zeer Beschut,D,D,C,3,C,52.0623,5.3622,1,"Alecto WS-5500
Weather Underground",,False,False,False
18,0a9be438-45f0-ea11-b5d9-0003ff599498,0a9be438-45f0-ea11-b5d9-0003ff599498,N52.0774E4.8305,-1m,Europe/Berlin,Ja,Ja,https://www.weerstation-woerden.nl,Hobbyist,Nee,,Rooftop,C,B,B,7,C,52.0774,4.8305,1,De Weer site voor het Weer en Noodweer omgeving Woerden,,True,True,True
19,0b35c987-82d8-e911-b3b9-0003ff59a783,0b35c987-82d8-e911-b3b9-0003ff59a783,N51.16176E4.997653,15m,Europe/Paris,Ja,Ja,vlinder.ugent.be,Education,Nee,Ghent University,Unknown,B,A,U,U,C,51.16176,4.997653,1,,Vlinder Citizen Science Project,True,True,False
20,0b774e33-c6ff-e711-90cd-0003ff5991b2,0b774e33-c6ff-e711-90cd-0003ff5991b2,N51.9489851827403E4.58186476427932,-4m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Unknown,U,U,U,U,U,51.9489851827403,4.58186476427932,0,,,False,False,False
21,0cee8786-b419-ed11-b5cf-0003ff59a71f,0cee8786-b419-ed11-b5cf-0003ff59a71f,N52.4995E4.8172,6m,Europe/Berlin,Ja,Ja,,Personal,Nee,,Standaard,B,D,B,5,C,52.4995,4.8172,2,,,True,False,True
22,0cf46235-88a0-e811-b96f-0003ff597c74,0cf46235-88a0-e811-b96f-0003ff597c74,N52.2926938086908E5.59860160452308,8m,Europe/Berlin,Ja,Ja,,Hobbyist,Nee,Student,Beperkt,B,D,C,5,C,52.2926938086908,5.59860160452308,2,,,True,False,False
23,0d38e387-268d-ed11-9ac4-0003ff59a578,0d38e387-268d-ed11-9ac4-0003ff59a578,N52.1188E4.6662,12m,Europe/Berlin,Ja,Ja,-,Hobbyist,Nee,-,Rooftop,C,D,B,3,C,52.1188,4.6662,1,Alecto WS-5500,"Weerstation	Alecto WS-5500
Breedtegraad	52° 07.13' N
Lengtegraad	004° 39.97' O
Hoogte	12 meters",True,False,True
24,0d688832-8ed6-e611-9401-0003ff5987fb,0d688832-8ed6-e611-9401-0003ff5987fb,N51.376371E6.115726,21m,Europe/Berlin,Ja,Ja,WeerBoekend.nl,Personal,Nee,,Standaard,A,A,C,5,C,51.376371,6.115726,4,,Parameters are measured with VantagePro2,True,True,False
